# FELIX	FELIX_CH	CHIP	CHANNEL
0	6	6	2
0	6	6	3
0	6	6	4
0	6	6	5
0	6	6	6
0	6	6	7
0	6	6	9
0	6	6	10
0	6	6	11
0	6	6	13
0	6	6	14
0	6	6	15
0	6	6	20
0	6	6	21
0	6	6	22
0	6	6	26
0	6	6	27
0	6	6	29
0	6	6	30
0	6	6	31
0	6	6	37
0	6	6	39
0	6	6	43
0	6	6	45
0	6	6	47
0	6	6	52
0	6	6	53
0	6	6	54
0	6	6	55
0	6	6	58
0	6	6	59
0	6	6	60
0	6	6	61
0	6	6	62
0	6	6	63
0	6	6	66
0	6	6	67
0	6	6	69
0	6	6	70
0	6	6	71
0	6	6	74
0	6	6	75
0	6	6	77
0	6	6	78
0	6	6	79
0	6	6	82
0	6	6	83
0	6	6	85
0	6	6	86
0	6	6	87
0	6	6	90
0	6	6	91
0	6	6	92
0	6	6	93
0	6	6	94
0	6	6	95
0	6	6	97
0	6	6	98
0	6	6	99
0	6	6	101
0	6	6	102
0	6	6	103
0	6	6	105
0	6	6	106
0	6	6	107
0	6	6	109
0	6	6	110
0	6	6	111
0	6	6	114
0	6	6	115
0	6	6	116
0	6	6	117
0	6	6	118
0	6	6	119
0	6	6	120
0	6	6	121
0	6	6	122
0	6	6	123
0	6	6	124
0	6	6	125
0	6	6	126
0	6	6	127
1	2	14	0
1	2	16	0
1	10	17	83
1	10	17	86
3	13	18	0
6	0	0	0
6	0	0	1
6	0	0	2
6	0	0	3
6	0	0	4
6	0	0	5
6	0	0	6
6	0	0	7
6	0	0	8
6	0	0	9
6	0	0	10
6	0	0	11
6	0	0	12
6	0	0	13
6	0	0	14
6	0	0	15
6	0	0	16
6	0	0	17
6	0	0	18
6	0	0	19
6	0	0	20
6	0	0	21
6	0	0	22
6	0	0	23
6	0	0	24
6	0	0	25
6	0	0	26
6	0	0	27
6	0	0	28
6	0	0	29
6	0	0	30
6	0	0	31
6	0	0	32
6	0	0	33
6	0	0	34
6	0	0	35
6	0	0	36
6	0	0	37
6	0	0	38
6	0	0	39
6	0	0	40
6	0	0	41
6	0	0	42
